curriculum_year,school_level,school_type,title,publisher,author,grade_use,material_type,source_file,notes
2015개정,초등학교,검정,음악(3~4학년군) 3,(주)와이비엠,홍종건,2018,교과서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
2015개정,초등학교,검정,음악(3~4학년군) 3~4,(주)와이비엠,홍종건,2018,지도서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
2015개정,초등학교,검정,음악(3~4학년군) 3,동아출판(주),석문주,2018,교과서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
2015개정,초등학교,검정,음악(3~4학년군) 3~4,동아출판(주),석문주,2018,지도서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
2015개정,초등학교,검정,음악(3~4학년군) 3,(주)금성출판사,김용희,2018,교과서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
2015개정,초등학교,검정,음악(3~4학년군) 3~4,(주)금성출판사,김용희,2018,지도서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
2015개정,초등학교,검정,음악(3~4학년군) 3,(주)지학사,허정미,2018,교과서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
2015개정,초등학교,검정,음악(3~4학년군) 3~4,(주)지학사,허정미,2018,지도서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
2015개정,초등학교,검정,음악(3~4학년군) 3,(주)음악과생활,권태욱,2018,교과서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
2015개정,초등학교,검정,음악(3~4학년군) 3~4,(주)음악과생활,권태욱,2018,지도서,/home/tjdgus/Downloads/edu_source_check_20260327_113100/downloads/datago_textbook_catalog.csv,"실제 원본 열 이름: 검인정구분, 교지명, 학교급명, 출판사, 도서명, 대표, 저자, 개정구분, 시작년도, 기관"
